id,source,country,author,rating,title,review,date,likes,version,url
appstore_in_14458905589,app_store,IN,OManish B,5,👏😃,👌🏻👏👏👏,2026-08-22T14:24:41.000Z,0,4.2608.20,https://apps.apple.com/in/app/myntra-fashion-shopping-app/id907394059
appstore_in_14458892996,app_store,IN,vkap122,5,Love the collection,"I look forward to all the deals that come on Myntra . It’s a one stop shop for kids to adults all clothes , accessories and footwears ! Love it 💕",2026-08-22T14:21:04.000Z,0,4.2608.20,https://apps.apple.com/in/app/myntra-fashion-shopping-app/id907394059
appstore_in_14458841595,app_store,IN,Abhi19968modi,5,Great experience,Good,2026-08-22T14:06:12.000Z,0,4.2608.30,https://apps.apple.com/in/app/myntra-fashion-shopping-app/id907394059
appstore_in_14458811902,app_store,IN,Xuzthi,4,Nice,Good website customer friendly,2026-08-22T13:57:34.000Z,0,4.2608.20,https://apps.apple.com/in/app/myntra-fashion-shopping-app/id907394059
appstore_in_14458795168,app_store,IN,jary singh,5,gud,10,2026-08-22T13:52:45.000Z,0,4.2608.20,https://apps.apple.com/in/app/myntra-fashion-shopping-app/id907394059
appstore_in_14458734687,app_store,IN,Verma SD,5,Great experience of purchase,"Nice
 Product and timely delivery",2026-08-22T13:34:51.000Z,0,4.2608.30,https://apps.apple.com/in/app/myntra-fashion-shopping-app/id907394059
appstore_in_14458640594,app_store,IN,Virkparam,5,Good,Good,2026-08-22T13:06:15.000Z,0,4.2608.30,https://apps.apple.com/in/app/myntra-fashion-shopping-app/id907394059
appstore_in_14458630452,app_store,IN,Pooh shiva,5,H&M women shirt,Nice fabric & beautiful colour,2026-08-22T13:03:07.000Z,0,4.2608.30,https://apps.apple.com/in/app/myntra-fashion-shopping-app/id907394059
appstore_in_14458615616,app_store,IN,🎀friendly,5,Best app for shopping,First class quality,2026-08-22T12:58:28.000Z,0,4.2608.20,https://apps.apple.com/in/app/myntra-fashion-shopping-app/id907394059
appstore_in_14458601038,app_store,IN,manyakapoor,5,Myntra,My favourite app for clothes and accessories 🫶🏻,2026-08-22T12:53:53.000Z,0,4.2608.20,https://apps.apple.com/in/app/myntra-fashion-shopping-app/id907394059
appstore_in_14458500451,app_store,IN,Swathi Dileep,5,Amazing,Loved it!!!,2026-08-22T12:21:30.000Z,0,4.2608.20,https://apps.apple.com/in/app/myntra-fashion-shopping-app/id907394059
appstore_in_14458453158,app_store,IN,susham1999,5,Pretty awesome platform,The items are genuine and original with warranties and all documents,2026-08-22T12:05:42.000Z,0,4.2608.20,https://apps.apple.com/in/app/myntra-fashion-shopping-app/id907394059
appstore_in_14458449024,app_store,IN,Kirti.Goel_1994,5,Perfect app for your fashion needs,Very happy that myntra is to my rescue whenever I need to shop something for myself and my family. Hassle free returns and super fast delivery are best offered by myntra.,2026-08-22T12:04:17.000Z,0,4.2608.20,https://apps.apple.com/in/app/myntra-fashion-shopping-app/id907394059
appstore_in_14458440038,app_store,IN,Maya ramesh rana,5,Very nice,Good fabric and print so comfortable,2026-08-22T12:01:15.000Z,0,4.2608.20,https://apps.apple.com/in/app/myntra-fashion-shopping-app/id907394059
appstore_in_14458424984,app_store,IN,Kalindiparul,5,Awesome,I like very much,2026-08-22T11:56:04.000Z,0,4.2608.20,https://apps.apple.com/in/app/myntra-fashion-shopping-app/id907394059
appstore_in_14458416052,app_store,IN,anita malik,4,Best shopping experience,If you are looking for a online app which will give you best offers available and all the brands you want plus hassle free shopping experience then this is the app you must check out.,2026-08-22T11:52:59.000Z,0,4.2607.40,https://apps.apple.com/in/app/myntra-fashion-shopping-app/id907394059
appstore_in_14458396582,app_store,IN,iAppLover55,1,worst customer service,"never trust myntra for any product 
they sold me a product which doesn’t work and they don’t take returns or any responsibility.. on top of that they charged me price which is higher than the products tax invoice.. this is second time exchange with no option to refund the product, exchanged product is also of very low quality and faulty..
big headache since past 2 months.. money stuck.. no product to use.. and rude customer service staff",2026-08-22T11:46:12.000Z,0,4.2608.30,https://apps.apple.com/in/app/myntra-fashion-shopping-app/id907394059
